range_f,range_e,networking,registry,service,file,system,message,process,LdrGetProcedureAddress,synchronisation,NtQueryValueKey,LdrUnloadDll,NtOpenDirectoryObject,ReadProcessMemory,CreateProcessInternalW,NtAllocateVirtualMemory,NtReadFile
0,0,0,11,22,33,44,55,66,77,88,99,110,121,132,143,154,165
0,3,1,12,23,34,45,56,67,78,89,100,111,122,133,144,155,166
3,7,2,13,24,35,46,57,68,79,90,101,112,123,134,145,156,167
7,12,3,14,25,36,47,58,69,80,91,102,113,124,135,146,157,168
12,18,4,15,26,37,48,59,70,81,92,103,114,125,136,147,158,169
18,25,5,16,27,38,49,60,71,82,93,104,115,126,137,148,159,170
25,33,6,17,28,39,50,61,72,83,94,105,116,127,138,149,160,171
33,42,7,18,29,40,51,62,73,84,95,106,117,128,139,150,161,172
42,100,8,19,30,41,52,63,74,85,96,107,118,129,140,151,162,173
100,200,9,20,31,42,53,64,75,86,97,108,119,130,141,152,163,174
200,1000,10,21,32,43,54,65,76,87,98,109,120,131,142,153,164,175
